node,degree,weighted_degree,betweenness,eigenvector
@the_rocktrading,6,351,0.0,
@kongposting,6,351,0.0,
@breakoutstocks,6,351,0.0,
@gambistefinance,6,351,0.0,
@unusual_whales,7,351,0.1214574898785425,
@bulitrades,6,349,0.0,
@tradewithalert,6,348,0.0,
@benderprofitbox,3,134,0.0,
@hellsbellsbbs,3,134,0.0,
@dasunman8,3,102,0.0,
@blackboxstocks,3,102,0.0,
@chazzsheen3,4,86,0.07692307692307691,
@ludg_inc,1,42,0.0,
@originclear,1,39,0.0,
@markets,2,37,0.026990553306342778,
