date,tweet_count,average_sentiment,positive_count,neutral_count,negative_count,Close,Volume,daily_return,log_return
2022-11-21,661,0.2129010590015128,335,227,99,15.296940803527832,404739000,,
2022-11-22,1411,0.2147593905031892,751,514,146,16.016992568969727,472866000,0.047071618743260935,0.04599733331521618
2022-11-23,1189,0.2353174095878889,622,460,107,16.497364044189453,427241000,0.02999136530476809,0.029550419007150913
2022-11-25,781,0.2352354673495518,441,256,84,16.24869155883789,167934000,-0.015073467778578098,-0.015188227169001891
2022-11-28,1163,0.2297460877042132,685,326,152,15.806272506713867,303741000,-0.027227980205174473,-0.02760553073032204
2022-11-29,1176,0.2162857993197278,650,334,192,15.618517875671387,298384000,-0.01187848880643616,-0.011949601758534881
2022-11-30,1320,0.1850629545454545,676,434,210,16.9051570892334,565298000,0.0823790851221664,0.07916147499943936
2022-12-01,1631,0.2336652973635806,959,480,192,17.116941452026367,470977000,0.012527796202961738,0.01244997266169156
2022-12-02,2125,0.2373192470588235,1312,588,225,16.858211517333984,371389000,-0.015115430254728945,-0.01523083275297418
2022-12-05,1182,0.190542385786802,623,411,148,16.592493057250977,352255000,-0.01576196026546417,-0.015887500886137003
2022-12-06,1396,0.2102116045845272,788,407,201,15.970147132873535,352694000,-0.03750768026420681,-0.03822919234731391
2022-12-07,1429,0.210444366689993,818,397,214,16.103008270263672,372388000,0.008319343352613862,0.008284928357401153
2022-12-08,1859,0.2082815492200107,1021,601,237,17.15089988708496,515456000,0.06507427675835942,0.0630445401645074
2022-12-09,1766,0.2266916761041902,1012,501,253,16.98307991027832,465338000,-0.009784907958853672,-0.009833094764029153
2022-12-12,1461,0.2054399726214921,793,476,192,17.516515731811523,457328000,0.03140983993194091,0.030926642953708273
2022-12-13,1532,0.2090475195822454,866,434,232,18.05295181274414,656589000,0.03062458819697822,0.03016501476534274
2022-12-14,1398,0.254787339055794,820,398,180,17.65536880493164,496888000,-0.022023157871159493,-0.0222692880325336
2022-12-15,1611,0.2296589075108628,905,500,206,16.934127807617188,478542000,-0.04085108644759605,-0.041708936119606084
2022-12-16,1300,0.2159657692307692,724,389,187,16.553529739379883,478232000,-0.02247520938551717,-0.022731626201769408
2022-12-19,1343,0.2206736411020104,802,366,175,16.236865997314453,354039000,-0.019129680923102743,-0.019315020737147307
2022-12-20,1444,0.2351290166204986,919,332,193,16.068044662475586,403260000,-0.01039740888831564,-0.010451839564840965
2022-12-21,1512,0.2408366402116402,945,370,197,16.483604431152344,325025000,0.02586249773422855,0.02553371996449346
2022-12-22,1965,0.1858167938931297,1042,635,288,15.322830200195312,565045000,-0.07041992761991334,-0.07302232988267043
2022-12-23,1722,0.273346225319396,1082,460,180,15.189970970153809,349326000,-0.00867067169091329,-0.008708480676215833
2022-12-27,2215,0.2001676749435665,1185,712,318,14.106115341186523,464902000,-0.07135337066126801,-0.07402698999115435
2022-12-28,2046,0.2164017106549364,1143,625,278,14.021203994750977,351066000,-0.006019470590008957,-0.006037660636134004
2022-12-29,1703,0.1919129770992366,943,531,229,14.587606430053711,354923000,0.04039613399211461,0.03960153869936805
2022-12-30,1519,0.2364235681369322,920,399,200,14.598594665527344,310490000,0.0007532582899272278,0.000752974733286881
2023-01-03,1638,0.1790752747252747,812,652,174,14.299909591674805,401277000,-0.020459851149771557,-0.020672053310234043
2023-01-04,1574,0.2016208386277001,883,522,169,14.733451843261719,431324000,0.03031783164834234,0.029867329058117387
2023-01-05,1507,0.2091702720637027,863,478,166,14.24996280670166,389168000,-0.03281573399794835,-0.03336624738826084
2023-01-06,1492,0.2109362600536193,851,472,169,14.843338012695312,405044000,0.04164047401685789,0.0407968492602993
2023-01-09,1532,0.1984298955613577,814,551,167,15.611527442932129,504231000,0.05175314538952058,0.05045843410871404
2023-01-10,1257,0.2193143198090692,761,357,139,15.892230033874512,384101000,0.017980469365889373,0.017820732645557377
2023-01-11,1357,0.2189112748710391,827,350,180,15.98413372039795,353285000,0.005782932057209367,0.005766275092166321
2023-01-12,1584,0.1990588383838384,887,497,200,16.49359130859375,551409000,0.03187270559089872,0.03137531215582693
2023-01-13,1283,0.2000415432579891,698,421,164,16.88118553161621,447287000,0.023499686379431006,0.023227819699454318
2023-01-17,1655,0.2082923867069486,924,535,196,17.683338165283203,511102000,0.04751755332376795,0.046423130023412064
2023-01-18,1468,0.2372229564032698,888,431,149,17.358680725097656,439624000,-0.018359510922147604,-0.018530138394290536
2023-01-19,1341,0.2104430275913497,792,383,166,16.747329711914062,452932000,-0.03521874864025154,-0.03585388586827697
2023-01-20,1565,0.2221194888178914,896,481,188,17.820194244384766,564967000,0.06406182662705118,0.062093496963454724
2023-01-23,2265,0.1771212803532009,1088,908,269,19.17276954650879,655163000,0.07590126592195978,0.07315869723378278
2023-01-24,1772,0.2003487020316027,939,620,213,19.244688034057617,496204000,0.0037510745317399508,0.003744056795561449
2023-01-25,1618,0.196071260815822,840,586,192,19.302631378173828,449537000,0.003010874689871157,0.003006351084403664
2023-01-26,1698,0.1950163722025913,851,603,244,19.781126022338867,489535000,0.024789088844440643,0.02448682443640823
2023-01-27,1835,0.1761712261580381,926,607,302,20.343528747558594,542142000,0.028431279624052008,0.02803461176195445
2023-01-30,1595,0.2322007523510972,888,522,185,19.141799926757812,488611000,-0.059071798000875364,-0.060888441989846706
2023-01-31,1609,0.2273799254195152,940,469,200,19.51640510559082,498017000,0.019570008059135446,0.019380977688138686
2023-02-01,2007,0.2091506726457399,1077,712,218,20.920921325683594,660477000,0.07196592879138519,0.06949427929966787
2023-02-02,1760,0.2146447727272727,979,566,215,21.68611717224121,564276000,0.03657562851298635,0.03592261551211761
2023-02-03,1388,0.1968718299711815,724,498,166,21.0777587890625,429366000,-0.028052895700361957,-0.028453895447306515
2023-02-06,320,0.2172446874999999,189,95,36,21.066770553588867,452197000,-0.0005213189686625874,-0.0005214549026414919
